epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.336,2.46514,5.62806,1.38102,0.12704,0.29412,0.12095,0.04086,2.24975,5.15719,1.04259,6e-05,6e-05,6e-05
2,24.4972,2.58127,5.45905,1.45124,0.21601,0.47059,0.17278,0.07079,1.99263,4.05041,1.18517,0.00013769,0.00013769,0.00013769
3,25.7191,2.37323,3.33422,1.41477,0.82099,0.81,0.83765,0.37775,2.03599,3.09364,1.30359,0.00021274,0.00021274,0.00021274
4,26.9071,2.19177,2.35168,1.32949,0.81963,0.82353,0.80874,0.33272,1.93498,2.94748,1.28569,0.00028515,0.00028515,0.00028515
5,27.9722,1.99255,2.00718,1.31521,0.70476,0.88235,0.77005,0.34218,2.10494,2.90144,1.32838,0.00035492,0.00035492,0.00035492
6,29.0631,2.00808,1.70339,1.19026,0.47518,0.82353,0.45171,0.1785,2.07184,3.18427,1.30307,0.00042205,0.00042205,0.00042205
7,30.2134,1.96565,1.64052,1.20433,1,0.74283,0.86171,0.43091,1.96756,2.32779,1.24337,0.00048654,0.00048654,0.00048654
8,32.0749,1.91053,1.3976,1.24881,0.1174,0.64706,0.10219,0.04745,1.95273,3.94081,1.20934,0.00054839,0.00054839,0.00054839
9,33.2801,1.81446,1.2832,1.19184,0.0679,0.76471,0.06271,0.02602,2.11065,16.2193,1.25915,0.0006076,0.0006076,0.0006076
10,34.38,1.89288,1.35107,1.19247,0.02872,0.70588,0.02759,0.01015,2.46398,18.1589,1.4297,0.00066417,0.00066417,0.00066417
11,35.4697,1.90547,1.30499,1.18763,0.03724,0.70588,0.03483,0.01406,2.24611,23.9526,1.43158,0.0007181,0.0007181,0.0007181
12,36.5221,1.9041,1.11469,1.30118,0.03612,0.94118,0.03684,0.01503,2.0197,47.7707,1.34542,0.00076939,0.00076939,0.00076939
13,37.5751,1.86223,1.07024,1.26441,0.08179,0.64706,0.07713,0.03012,2.33274,7.03407,1.63035,0.00081804,0.00081804,0.00081804
14,38.6513,1.96499,1.07644,1.24286,0.28811,0.70588,0.28649,0.09701,2.2429,3.50916,1.43607,0.00086405,0.00086405,0.00086405
15,39.7202,1.91722,1.10877,1.33912,0.15165,0.76471,0.13856,0.05745,2.06539,3.66199,1.34308,0.00090742,0.00090742,0.00090742
16,40.7903,1.72715,0.9988,1.22247,0.45809,0.76471,0.49884,0.16071,2.17499,2.51274,1.36556,0.00094815,0.00094815,0.00094815
17,41.8533,1.83584,1.02087,1.21678,0.78908,0.88039,0.78364,0.33185,2.10723,1.66588,1.40093,0.00098624,0.00098624,0.00098624
18,43.1866,1.75068,0.92594,1.21412,0.87986,0.86238,0.85026,0.35754,2.18698,1.37372,1.38731,0.00102169,0.00102169,0.00102169
19,44.7506,1.77575,0.93794,1.1442,0.8717,0.88235,0.8039,0.35731,2.22201,1.37617,1.41,0.0010545,0.0010545,0.0010545
20,45.9769,1.70581,0.94341,1.20631,0.68863,0.82353,0.78915,0.37885,2.14529,1.55077,1.42791,0.00108467,0.00108467,0.00108467
21,47.0586,1.71501,0.93999,1.25808,0.98362,0.94118,0.94525,0.44371,1.98784,1.10487,1.43289,0.0011122,0.0011122,0.0011122
22,48.1924,1.83756,0.88714,1.15627,0.90815,0.88235,0.95857,0.46179,1.95956,1.10125,1.42783,0.00113709,0.00113709,0.00113709
23,49.2636,1.50565,0.8977,1.1326,0.93396,0.83232,0.93114,0.41164,2.18732,1.13305,1.47152,0.00115934,0.00115934,0.00115934
24,50.3075,1.71812,0.9142,1.2933,0.97569,0.88235,0.90671,0.39673,2.20736,1.1841,1.3987,0.00117895,0.00117895,0.00117895
25,51.4006,1.7894,0.84612,1.07377,0.99283,0.82353,0.90662,0.41843,2.01992,1.27438,1.32012,0.00119592,0.00119592,0.00119592
26,52.4764,1.63281,0.88192,1.19311,0.98793,0.82353,0.93297,0.45782,2.06536,1.23535,1.33857,0.001175,0.001175,0.001175
27,53.5037,1.87865,0.90857,1.18114,0.93656,0.86901,0.93706,0.43729,2.15526,1.11526,1.44623,0.001142,0.001142,0.001142
28,54.5539,1.82249,0.96423,1.27434,0.87758,0.88235,0.90713,0.38925,2.16205,1.05089,1.5701,0.001109,0.001109,0.001109
29,55.8399,1.67912,0.86879,1.14949,0.92507,0.82353,0.8947,0.3915,2.21185,1.10779,1.6534,0.001076,0.001076,0.001076
30,57.4234,1.68128,0.86984,1.14484,0.98457,0.88235,0.93214,0.37531,2.25527,1.13365,1.59089,0.001043,0.001043,0.001043
31,58.5914,1.69395,0.87654,1.1007,0.92692,0.88235,0.94554,0.35943,2.18774,0.99443,1.49849,0.00101,0.00101,0.00101
32,59.6865,1.57081,0.85791,1.155,0.88674,0.92188,0.9032,0.37736,2.08555,1.04916,1.31388,0.000977,0.000977,0.000977
33,60.7704,1.67635,0.81748,1.10016,0.88728,0.92668,0.94149,0.37279,2.02931,1.01321,1.24549,0.000944,0.000944,0.000944
34,61.8527,1.62836,0.87309,1.11605,0.9696,0.88235,0.93159,0.40144,2.09746,1.05583,1.26552,0.000911,0.000911,0.000911
35,62.9249,1.68595,0.82501,1.16832,0.99818,0.88235,0.94556,0.407,1.99966,1.01307,1.22729,0.000878,0.000878,0.000878
